College Name,Region,Region Type,Address,District,Website,Email address,Contact Number,TPO name,TPO contact number,Status,Autonomous Status
"Government College of Engineering, Amravati",Amravati,Urban,"VMV Road, Near Kathora Naka,  Amravati",Amravati,www.gcoea.ac.in,principal@gcoea.ac.in,2531930,P. P. Bhatkar,2531929,Government,Autonomous
"Government Engineering College, Yavatmal",Amravati,Urban,"Post Box N. 24, Dhamangaon Road, Yavatmal ",Yavatmal,www.gpyavatmal.edu.in,office.gpyavatmal@dtemaharashtra.gov.in,07232238,Mahejabin M. Mujawar,07232243,Government,Non-Autonomous
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Amravati,Rural,"S.S.G.M.C.E Campus, Khamgaon Road, Shegaon Dist. Buldhana",Buldhana,www.ssgmce.org,principal@ssgmce.ac.in,252216,PROF. A.V. PATIL,8669638081,Un-Aided,Non-Autonomous
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Amravati,Urban,"Anjangaon Bari Road, Badnera,  Amravati",Amravati,www.mitra.ac.in,principal@mitra.ac.in,2681246,Mr. R. V. Adwanikar,2681246,Un-Aided,Non-Autonomous
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Amravati,Urban,"Sipna campus, Infront of Nemani Godown, Badnera Rd., Amravati",Amravati,www.sipnaengg.ac.in,sipnaoffice@gmail.com,2522343,Shyamsundar Bhojraj Gupta,2522342,Un-Aided,Non-Autonomous
"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Amravati,Rural,"Babhulgaon(Jn), Murtizapur Road, National Highway No. 6, Akola",Akola,www.coeta.ac.in,principalcoeta@gmail.com,2456688,Mr. N. B. Gawande,2259069,Un-Aided,Non-Autonomous
"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Amravati,Rural,"Kalra Road, Pusad  Dist Yavatmal ",Yavatmal,www.bncoepusad.ac.in,principal@bncoepusad.ac.in,245229,---,245229,Un-Aided,Non-Autonomous
"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Amravati,Rural,"Anuradhha Nagar, Sakegaon Road, Chikhali Dist. Buldhana ",Buldhana,www.aecc.ac.in,annprincipal55@gmail.com,242580,Prof. Vijay D.Gurudasani,242063,Un-Aided,Non-Autonomous
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Amravati,Rural,"MIDC, Lohara, Amaravati Road, Yavatmal",Yavatmal,www.jdiet.ac.in,jdiet_yml@bsnl.in,7447797963,Avinash Navghare,7447797962,Un-Aided,Non-Autonomous
"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati",Amravati,Urban,"Hanuman Vyayam Nagar, H.V.P.M. Campus, Amravati",Amravati,www.hvpmcoet.in,principal@hvpmcoet.in,2563422,Mr. S.V.Dhole,2563422,Un-Aided,Non-Autonomous
"Dr. Bhausaheb Nadurkar College of Engineering, Waghapur,Yavatmal",Amravati,Urban,"Shri Saty Sai Krida Nagari, Waghapur Road, Yavatmal",Yavatmal,www.dbncoet.ac.in,dbncoetytl@gmail.com,246166,Prof. Ravi V. Nadimpalli,246162,Un-Aided,Non-Autonomous
"G.H. Raisoni college of Engineering & Management, Amravati",Amravati,Rural,"Anjangaon, Bari Road, Amravati",Amravati,ghrcema.raisoni.net,vijay.rathod@raisoni.net,2385429,Dr. Anand Deshpande,2385432,Un-Aided,Non-Autonomous
"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",Amravati,Rural,"Rajarshi Shahu Nagar, Near Palna Ghar, Sagwan Road,  Buldhana ",Buldhana,www.rsce.ac.in,rsc_engg@rediffmail.com,242080,Adv. Ms. Kirti Sawale,287167,Un-Aided,Non-Autonomous
"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Amravati,Rural,"Sr. No.167/1,167/2 &163/,Arni Road, Mauza-Kinhi,Tal & Dist-Yavatmal",Yavatmal,www.jcoet.org,principal@jcoet.org,244226,Hemant M Baradkar,244226,Un-Aided,Non-Autonomous
"Prof Ram Meghe College of Engineering  and Management, Badnera",Amravati,Urban,"New Express Highway, Badnera Dist. Amravati",Amravati,www.prmceam.ac.in,principal@prmceam.ac.in,2578385,Mr. Sagar J Chandak,2580373,Un-Aided,Non-Autonomous
"Dhamangaon Education Society's College of Engineering and Technology, Dhamangaon",Amravati,Rural,"Knowledge Hub, Anjansingi Road, Dhamangaon RlY. Station, Amravati",Amravati,www.descoet.org,desdcoet@rediffmail.com,237335,Prof. Rajkumar Yadav,237335,Un-Aided,Non-Autonomous
"P. R. Pote Patil Institute of Engineering & Research, At  Kathora, Amravati ",Amravati,Rural,"Kathora Road, Pote Estate, Mu. Kathora Ta. Dist Amravati",Amravati,www.prppier.ac.in,prpatilengineering@gmail.com,2970111,Kishor Deshmukh,2970408,Un-Aided,Non-Autonomous
"Sanmati Engineering College, Sawargaon Barde, Washim",Amravati,Rural,"Survey no. 40, Washim-Malegaon Road, At. Post  Sawargaon Barde Dist. Washim ",Washim,www.sanmati.in,engineering@sanmati.in,233090,Vikas Joshi,234302,Un-Aided,Non-Autonomous
"Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",Amravati,Urban,"Malkapur, Dist. Buldhana",Buldhana,www.coemalkapur.ac.in,coemalkapur@rediffmail.com,224943,Mr. Ramakant Rane,226700,Un-Aided,Non-Autonomous
"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Amravati,Urban,"Khamgaon Road, Shegaon Dist. Buldhana",Buldhana,www.mauligroup.org,maulicoet@gmail.com,7722027506,Mr. S. S. Badhe,7722027506,Un-Aided,Non-Autonomous
"Harikisan Maloo Institute Of Management & Technology, Amravati",Amravati,Urban,"Opp. Deshmukh Lawns, Shegaaon Rahatgaon Road, Amravati. ",Amravati,www.maloogroup.org,hcminstmngtech@gmail.com,90968111,Dr. Ashish R. maloo,2970119,Un-Aided,Non-Autonomous
"Pratap Institute of Management & Technology, Washim.",Amravati,Rural,"Gat No. 89 & 90, Mauza Walki, Risod Road, Washim",Washim,www.pimtwashim.org,pimt.washim@gmail.com,288919,Shriram Wamanrao Khope,288919,Un-Aided,Non-Autonomous
"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile ",Amravati,Rural,"Gat No.133,134 & 140, Shegaon Khamgaon Road, Shirasgaon, Nile, Tal. Shegaon",Buldhana,www.stc.org.in,admn.stc@gmail.com,220333,Prof. Umesh Kute,220222,Un-Aided,Non-Autonomous
"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302",Amravati,Rural,"Gut No.1035, Surat Nagpur Highway Vyala, Tal.Balapur, Akola",Akola,www.manavengineering.ac.in,principal@manavengineering.ac.in,238406,Santosh Kale,238406,Un-Aided,Non-Autonomous
"Let.Dr.D.B.Dod College of Engineering, Jambla,Achalpur",Amravati,Rural,"Sr.No.32/4 , Mauja Jambla, Anjangaon Road, Paratwada Tal. Achalpur Dist. Amravati",Amravati,www.dbdcoe.org,drdbdod@rediffmail.com,9970931278,Jayashree R. Talokar,225503,Un-Aided,Non-Autonomous
"Government College of Engineering,  Aurangabad",Aurangabad,Urban,"Station Road, Osmanpura,  Aurangabad",Aurangabad,www.geca.ac.in,principalgeca@yahoo.com,2366111,Rasal Shivaji Bhagwan,2366111,Government,Autonomous
"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Aurangabad,Urban,"Vishnupuri, Nanded",Nanded,www.sggs.ac.in,director@sggs.ac.in,229234,Mr. S. M. Nilangekar,229234,Government-Aided,Autonomous
"University Department of Chemical Technology, Aurangabad",Aurangabad,Urban,"Dr. Babasaheb Ambedkar Marathwada University Campus, Aurangabad",Aurangabad,www.bamu.net,udctaurangabad@yahoo.co.in,2403307,Dr. Ganesh R. Manza,2403308,University Department,Non-Autonomous
"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",Aurangabad,Urban,"Gut No. 258 (P), Satara Tanda, Tal & Dist. Aurangabad",Aurangabad,www.syp.ac.in,sycet@yahoo.com,6608702,N.S.Saraf ,6608701,Un-Aided,Non-Autonomous
"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Aurangabad,Urban,"N.H. No. 211,Beed bypass Road, Satara, Aurangabad",Aurangabad,www.mit.asia,spbhosle2001@gmail.com,2375222,Prof.Makarand Suresh Vaishnav,2375222,Un-Aided,Non-Autonomous
"Deogiri Institute of Engineering and Management Studies, Aurangabad",Aurangabad,Urban,"Deogiri College Campus, Railway Station Road, Aurangabad",Aurangabad,www.dietms.org,shiurkar@gmail.com,2367567,G. N.Tambe ,2367575,Un-Aided,Non-Autonomous
"Shree Sharda Bhavan Education Society's Institute of Technology & Management, Nanded",Aurangabad,Urban,"Yashwant College Campus, VIP Road Nanded,(MS) 431602",Nanded,www.ssbesitm.org,ssbesitm@yahoo.com,253471,S.B.HAMBARDE,254850,Un-Aided,Non-Autonomous
"Dnyanopasak Shikshan Mandal's Institute of Information Technology & Management, Parbhani.",Aurangabad,Urban,"C/o. Dnyanopasak College of  Arts, Commeres  & Science, Near Zilla Parishad, Jintur Road, Parbhani  431401",Parbhani,www.dsmiitm.com,gopal.hoge@gmail.com,293044,sandip bhagwanrao panchange,293044,Un-Aided,Non-Autonomous
